3,C,kernel,gamma,degree,accuracy
96,0.001,poly,auto,6,0.9764705882352941
121,0.01,linear,auto,3,0.9764705882352941
310,10.0,poly,scale,3,0.9764705882352941
320,10.0,poly,auto,6,0.9764705882352941
120,0.01,linear,auto,2,0.9764705882352941
336,100.0,linear,scale,1,0.9764705882352941
337,100.0,linear,scale,2,0.9764705882352941
338,100.0,linear,scale,3,0.9764705882352941
339,100.0,linear,scale,4,0.9764705882352941
340,100.0,linear,scale,5,0.9764705882352941
341,100.0,linear,scale,6,0.9764705882352941
342,100.0,linear,scale,7,0.9764705882352941
343,100.0,linear,auto,1,0.9764705882352941
344,100.0,linear,auto,2,0.9764705882352941
345,100.0,linear,auto,3,0.9764705882352941
346,100.0,linear,auto,4,0.9764705882352941
347,100.0,linear,auto,5,0.9764705882352941
348,100.0,linear,auto,6,0.9764705882352941
41,0.0001,poly,auto,7,0.9764705882352941
40,0.0001,poly,auto,6,0.9764705882352941
37,0.0001,poly,auto,3,0.9764705882352941
349,100.0,linear,auto,7,0.9764705882352941
364,100.0,poly,scale,1,0.9764705882352941
367,100.0,poly,scale,4,0.9764705882352941
368,100.0,poly,scale,5,0.9764705882352941
371,100.0,poly,auto,1,0.9764705882352941
376,100.0,poly,auto,6,0.9764705882352941
377,100.0,poly,auto,7,0.9764705882352941
315,10.0,poly,auto,1,0.9764705882352941
321,10.0,poly,auto,7,0.9764705882352941
286,10.0,linear,scale,7,0.9764705882352941
112,0.01,linear,scale,1,0.9764705882352941
281,10.0,linear,scale,2,0.9764705882352941
282,10.0,linear,scale,3,0.9764705882352941
283,10.0,linear,scale,4,0.9764705882352941
284,10.0,linear,scale,5,0.9764705882352941
285,10.0,linear,scale,6,0.9764705882352941
113,0.01,linear,scale,2,0.9764705882352941
114,0.01,linear,scale,3,0.9764705882352941
117,0.01,linear,scale,6,0.9764705882352941
287,10.0,linear,auto,1,0.9764705882352941
115,0.01,linear,scale,4,0.9764705882352941
116,0.01,linear,scale,5,0.9764705882352941
288,10.0,linear,auto,2,0.9764705882352941
289,10.0,linear,auto,3,0.9764705882352941
290,10.0,linear,auto,4,0.9764705882352941
291,10.0,linear,auto,5,0.9764705882352941
97,0.001,poly,auto,7,0.9764705882352941
92,0.001,poly,auto,2,0.9764705882352941
292,10.0,linear,auto,6,0.9764705882352941
293,10.0,linear,auto,7,0.9764705882352941
118,0.01,linear,scale,7,0.9764705882352941
119,0.01,linear,auto,1,0.9764705882352941
280,10.0,linear,scale,1,0.9764705882352941
369,100.0,poly,scale,6,0.9647058823529412
210,0.1,rbf,scale,1,0.9647058823529412
211,0.1,rbf,scale,2,0.9647058823529412
311,10.0,poly,scale,4,0.9647058823529412
212,0.1,rbf,scale,3,0.9647058823529412
213,0.1,rbf,scale,4,0.9647058823529412
214,0.1,rbf,scale,5,0.9647058823529412
215,0.1,rbf,scale,6,0.9647058823529412
216,0.1,rbf,scale,7,0.9647058823529412
36,0.0001,poly,auto,2,0.9411764705882353
312,10.0,poly,scale,5,0.9411764705882353
254,1.0,poly,scale,3,0.9411764705882353
370,100.0,poly,scale,7,0.9411764705882353
255,1.0,poly,scale,4,0.9294117647058824
314,10.0,poly,scale,7,0.9294117647058824
313,10.0,poly,scale,6,0.9294117647058824
197,0.1,poly,scale,2,0.9294117647058824
196,0.1,poly,scale,1,0.9294117647058824
91,0.001,poly,auto,1,0.9176470588235294
256,1.0,poly,scale,5,0.9176470588235294
257,1.0,poly,scale,6,0.9176470588235294
258,1.0,poly,scale,7,0.9176470588235294
198,0.1,poly,scale,3,0.9176470588235294
199,0.1,poly,scale,4,0.9176470588235294
201,0.1,poly,scale,6,0.9058823529411765
202,0.1,poly,scale,7,0.9058823529411765
141,0.01,poly,scale,2,0.9058823529411765
200,0.1,poly,scale,5,0.9058823529411765
387,100.0,rbf,auto,3,0.8941176470588236
386,100.0,rbf,auto,2,0.8941176470588236
142,0.01,poly,scale,3,0.8941176470588236
335,10.0,rbf,auto,7,0.8941176470588236
334,10.0,rbf,auto,6,0.8941176470588236
333,10.0,rbf,auto,5,0.8941176470588236
332,10.0,rbf,auto,4,0.8941176470588236
331,10.0,rbf,auto,3,0.8941176470588236
330,10.0,rbf,auto,2,0.8941176470588236
329,10.0,rbf,auto,1,0.8941176470588236
388,100.0,rbf,auto,4,0.8941176470588236
389,100.0,rbf,auto,5,0.8941176470588236
390,100.0,rbf,auto,6,0.8941176470588236
385,100.0,rbf,auto,1,0.8941176470588236
391,100.0,rbf,auto,7,0.8941176470588236
278,1.0,rbf,auto,6,0.8823529411764706
279,1.0,rbf,auto,7,0.8823529411764706
273,1.0,rbf,auto,1,0.8823529411764706
