,layer,activation,solver,learning_rate,alpha,accuracy
205,"(16, 16)",logistic,sgd,0.001,0.0001,0.9764705882352941
313,"(32, 32)",tanh,adam,0.01,0.1,0.9764705882352941
194,"(16, 16)",tanh,adam,0.01,1.0,0.9764705882352941
332,"(32, 32)",logistic,sgd,0.01,0.01,0.9764705882352941
333,"(32, 32)",logistic,sgd,0.01,0.1,0.9764705882352941
334,"(32, 32)",logistic,sgd,0.01,1.0,0.9764705882352941
335,"(32, 32)",logistic,sgd,0.1,0.0001,0.9764705882352941
336,"(32, 32)",logistic,sgd,0.1,0.001,0.9764705882352941
169,"(16, 16)",tanh,sgd,0.001,1.0,0.9764705882352941
337,"(32, 32)",logistic,sgd,0.1,0.01,0.9764705882352941
338,"(32, 32)",logistic,sgd,0.1,0.1,0.9764705882352941
190,"(16, 16)",tanh,adam,0.01,0.0001,0.9764705882352941
331,"(32, 32)",logistic,sgd,0.01,0.001,0.9764705882352941
170,"(16, 16)",tanh,sgd,0.01,0.0001,0.9764705882352941
171,"(16, 16)",tanh,sgd,0.01,0.001,0.9764705882352941
118,"(8, 8)",logistic,adam,0.1,0.1,0.9764705882352941
186,"(16, 16)",tanh,adam,0.001,0.001,0.9764705882352941
173,"(16, 16)",tanh,sgd,0.01,0.1,0.9764705882352941
174,"(16, 16)",tanh,sgd,0.01,1.0,0.9764705882352941
183,"(16, 16)",tanh,adam,0.0001,0.1,0.9764705882352941
343,"(32, 32)",logistic,adam,0.0001,0.1,0.9764705882352941
175,"(16, 16)",tanh,sgd,0.1,0.0001,0.9764705882352941
344,"(32, 32)",logistic,adam,0.0001,1.0,0.9764705882352941
176,"(16, 16)",tanh,sgd,0.1,0.001,0.9764705882352941
117,"(8, 8)",logistic,adam,0.1,0.01,0.9764705882352941
207,"(16, 16)",logistic,sgd,0.001,0.01,0.9764705882352941
260,"(32, 32)",relu,adam,0.0001,0.0001,0.9764705882352941
330,"(32, 32)",logistic,sgd,0.01,0.0001,0.9764705882352941
211,"(16, 16)",logistic,sgd,0.01,0.001,0.9764705882352941
219,"(16, 16)",logistic,sgd,0.1,1.0,0.9764705882352941
217,"(16, 16)",logistic,sgd,0.1,0.01,0.9764705882352941
216,"(16, 16)",logistic,sgd,0.1,0.001,0.9764705882352941
328,"(32, 32)",logistic,sgd,0.001,0.1,0.9764705882352941
215,"(16, 16)",logistic,sgd,0.1,0.0001,0.9764705882352941
214,"(16, 16)",logistic,sgd,0.01,1.0,0.9764705882352941
213,"(16, 16)",logistic,sgd,0.01,0.1,0.9764705882352941
166,"(16, 16)",tanh,sgd,0.001,0.001,0.9764705882352941
212,"(16, 16)",logistic,sgd,0.01,0.01,0.9764705882352941
218,"(16, 16)",logistic,sgd,0.1,0.1,0.9764705882352941
210,"(16, 16)",logistic,sgd,0.01,0.0001,0.9764705882352941
209,"(16, 16)",logistic,sgd,0.001,1.0,0.9764705882352941
208,"(16, 16)",logistic,sgd,0.001,0.1,0.9764705882352941
314,"(32, 32)",tanh,adam,0.01,1.0,0.9764705882352941
122,"(16, 16)",relu,sgd,0.0001,0.01,0.9764705882352941
326,"(32, 32)",logistic,sgd,0.001,0.001,0.9764705882352941
327,"(32, 32)",logistic,sgd,0.001,0.01,0.9764705882352941
164,"(16, 16)",tanh,sgd,0.0001,1.0,0.9764705882352941
58,"(8, 8)",tanh,sgd,0.1,0.1,0.9647058823529412
477,"(64, 64)",logistic,adam,0.1,0.01,0.9647058823529412
593,"(128, 128)",logistic,adam,0.01,0.1,0.9647058823529412
182,"(16, 16)",tanh,adam,0.0001,0.01,0.9647058823529412
29,"(8, 8)",relu,adam,0.001,1.0,0.9647058823529412
479,"(64, 64)",logistic,adam,0.1,1.0,0.9647058823529412
2,"(8, 8)",relu,sgd,0.0001,0.01,0.9647058823529412
20,"(8, 8)",relu,adam,0.0001,0.0001,0.9647058823529412
253,"(32, 32)",relu,sgd,0.01,0.1,0.9647058823529412
22,"(8, 8)",relu,adam,0.0001,0.01,0.9647058823529412
55,"(8, 8)",tanh,sgd,0.1,0.0001,0.9647058823529412
153,"(16, 16)",relu,adam,0.01,0.1,0.9647058823529412
30,"(8, 8)",relu,adam,0.01,0.0001,0.9647058823529412
34,"(8, 8)",relu,adam,0.01,1.0,0.9647058823529412
38,"(8, 8)",relu,adam,0.1,0.1,0.9647058823529412
243,"(32, 32)",relu,sgd,0.0001,0.1,0.9647058823529412
9,"(8, 8)",relu,sgd,0.001,1.0,0.9647058823529412
514,"(128, 128)",relu,adam,0.01,1.0,0.9647058823529412
42,"(8, 8)",tanh,sgd,0.0001,0.01,0.9647058823529412
239,"(16, 16)",logistic,adam,0.1,1.0,0.9647058823529412
474,"(64, 64)",logistic,adam,0.01,1.0,0.9647058823529412
79,"(8, 8)",tanh,adam,0.1,1.0,0.9647058823529412
132,"(16, 16)",relu,sgd,0.01,0.01,0.9647058823529412
394,"(64, 64)",relu,adam,0.01,1.0,0.9647058823529412
179,"(16, 16)",tanh,sgd,0.1,1.0,0.9647058823529412
396,"(64, 64)",relu,adam,0.1,0.001,0.9647058823529412
110,"(8, 8)",logistic,adam,0.01,0.0001,0.9647058823529412
120,"(16, 16)",relu,sgd,0.0001,0.0001,0.9647058823529412
364,"(64, 64)",relu,sgd,0.0001,1.0,0.9647058823529412
285,"(32, 32)",tanh,sgd,0.001,0.0001,0.9647058823529412
283,"(32, 32)",tanh,sgd,0.0001,0.1,0.9647058823529412
280,"(32, 32)",tanh,sgd,0.0001,0.0001,0.9647058823529412
278,"(32, 32)",relu,adam,0.1,0.1,0.9647058823529412
361,"(64, 64)",relu,sgd,0.0001,0.001,0.9647058823529412
114,"(8, 8)",logistic,adam,0.01,1.0,0.9647058823529412
359,"(32, 32)",logistic,adam,0.1,1.0,0.9647058823529412
433,"(64, 64)",tanh,adam,0.01,0.1,0.9647058823529412
402,"(64, 64)",tanh,sgd,0.0001,0.01,0.9647058823529412
403,"(64, 64)",tanh,sgd,0.0001,0.1,0.9647058823529412
354,"(32, 32)",logistic,adam,0.01,1.0,0.9647058823529412
410,"(64, 64)",tanh,sgd,0.01,0.0001,0.9647058823529412
1,"(8, 8)",relu,sgd,0.0001,0.001,0.9647058823529412
296,"(32, 32)",tanh,sgd,0.1,0.001,0.9647058823529412
351,"(32, 32)",logistic,adam,0.01,0.001,0.9647058823529412
318,"(32, 32)",tanh,adam,0.1,0.1,0.9647058823529412
319,"(32, 32)",tanh,adam,0.1,1.0,0.9529411764705882
478,"(64, 64)",logistic,adam,0.1,0.1,0.9529411764705882
439,"(64, 64)",tanh,adam,0.1,1.0,0.9529411764705882
315,"(32, 32)",tanh,adam,0.1,0.0001,0.9529411764705882
56,"(8, 8)",tanh,sgd,0.1,0.001,0.9529411764705882
358,"(32, 32)",logistic,adam,0.1,0.1,0.9529411764705882
287,"(32, 32)",tanh,sgd,0.001,0.01,0.9529411764705882
63,"(8, 8)",tanh,adam,0.0001,0.1,0.9529411764705882
524,"(128, 128)",tanh,sgd,0.0001,1.0,0.9529411764705882
3,"(8, 8)",relu,sgd,0.0001,0.1,0.9529411764705882
115,"(8, 8)",logistic,adam,0.1,0.0001,0.9529411764705882
596,"(128, 128)",logistic,adam,0.1,0.001,0.9411764705882353
356,"(32, 32)",logistic,adam,0.1,0.001,0.9411764705882353
555,"(128, 128)",tanh,adam,0.1,0.0001,0.9411764705882353
557,"(128, 128)",tanh,adam,0.1,0.01,0.9294117647058824
436,"(64, 64)",tanh,adam,0.1,0.001,0.9294117647058824
517,"(128, 128)",relu,adam,0.1,0.01,0.9294117647058824
119,"(8, 8)",logistic,adam,0.1,1.0,0.9294117647058824
438,"(64, 64)",tanh,adam,0.1,0.1,0.9294117647058824
196,"(16, 16)",tanh,adam,0.1,0.001,0.9294117647058824
199,"(16, 16)",tanh,adam,0.1,1.0,0.9176470588235294
599,"(128, 128)",logistic,adam,0.1,1.0,0.9176470588235294
78,"(8, 8)",tanh,adam,0.1,0.1,0.9176470588235294
556,"(128, 128)",tanh,adam,0.1,0.001,0.9058823529411765
195,"(16, 16)",tanh,adam,0.1,0.0001,0.9058823529411765
317,"(32, 32)",tanh,adam,0.1,0.01,0.9058823529411765
197,"(16, 16)",tanh,adam,0.1,0.01,0.9058823529411765
516,"(128, 128)",relu,adam,0.1,0.001,0.8941176470588236
198,"(16, 16)",tanh,adam,0.1,0.1,0.8941176470588236
558,"(128, 128)",tanh,adam,0.1,0.1,0.8941176470588236
35,"(8, 8)",relu,adam,0.1,0.0001,0.8941176470588236
559,"(128, 128)",tanh,adam,0.1,1.0,0.8941176470588236
237,"(16, 16)",logistic,adam,0.1,0.01,0.8941176470588236
76,"(8, 8)",tanh,adam,0.1,0.001,0.8941176470588236
437,"(64, 64)",tanh,adam,0.1,0.01,0.8941176470588236
539,"(128, 128)",tanh,sgd,0.1,1.0,0.8941176470588236
157,"(16, 16)",relu,adam,0.1,0.01,0.8823529411764706
75,"(8, 8)",tanh,adam,0.1,0.0001,0.8823529411764706
316,"(32, 32)",tanh,adam,0.1,0.001,0.8588235294117647
353,"(32, 32)",logistic,adam,0.01,0.1,0.8588235294117647
276,"(32, 32)",relu,adam,0.1,0.001,0.8352941176470589
18,"(8, 8)",relu,sgd,0.1,0.1,0.8352941176470589
519,"(128, 128)",relu,adam,0.1,1.0,0.8235294117647058
158,"(16, 16)",relu,adam,0.1,0.1,0.8117647058823529
399,"(64, 64)",relu,adam,0.1,1.0,0.7764705882352941
397,"(64, 64)",relu,adam,0.1,0.01,0.7411764705882353
137,"(16, 16)",relu,sgd,0.1,0.01,0.7176470588235294
515,"(128, 128)",relu,adam,0.1,0.0001,0.6941176470588235
138,"(16, 16)",relu,sgd,0.1,0.1,0.6705882352941176
36,"(8, 8)",relu,adam,0.1,0.001,0.5764705882352941
443,"(64, 64)",logistic,sgd,0.0001,0.1,0.5647058823529412
203,"(16, 16)",logistic,sgd,0.0001,0.1,0.5529411764705883
257,"(32, 32)",relu,sgd,0.1,0.01,0.5529411764705883
200,"(16, 16)",logistic,sgd,0.0001,0.0001,0.5411764705882353
201,"(16, 16)",logistic,sgd,0.0001,0.001,0.5411764705882353
204,"(16, 16)",logistic,sgd,0.0001,1.0,0.5411764705882353
39,"(8, 8)",relu,adam,0.1,1.0,0.5411764705882353
499,"(128, 128)",relu,sgd,0.1,1.0,0.5411764705882353
376,"(64, 64)",relu,sgd,0.1,0.001,0.5411764705882353
495,"(128, 128)",relu,sgd,0.1,0.0001,0.5411764705882353
135,"(16, 16)",relu,sgd,0.1,0.0001,0.5411764705882353
136,"(16, 16)",relu,sgd,0.1,0.001,0.5411764705882353
379,"(64, 64)",relu,sgd,0.1,1.0,0.5411764705882353
256,"(32, 32)",relu,sgd,0.1,0.001,0.5411764705882353
258,"(32, 32)",relu,sgd,0.1,0.1,0.5411764705882353
139,"(16, 16)",relu,sgd,0.1,1.0,0.5411764705882353
378,"(64, 64)",relu,sgd,0.1,0.1,0.5411764705882353
561,"(128, 128)",logistic,sgd,0.0001,0.001,0.5411764705882353
259,"(32, 32)",relu,sgd,0.1,1.0,0.5411764705882353
444,"(64, 64)",logistic,sgd,0.0001,1.0,0.5411764705882353
442,"(64, 64)",logistic,sgd,0.0001,0.01,0.5411764705882353
440,"(64, 64)",logistic,sgd,0.0001,0.0001,0.5411764705882353
323,"(32, 32)",logistic,sgd,0.0001,0.1,0.5411764705882353
82,"(8, 8)",logistic,sgd,0.0001,0.01,0.5411764705882353
16,"(8, 8)",relu,sgd,0.1,0.001,0.5411764705882353
15,"(8, 8)",relu,sgd,0.1,0.0001,0.5411764705882353
321,"(32, 32)",logistic,sgd,0.0001,0.001,0.5411764705882353
560,"(128, 128)",logistic,sgd,0.0001,0.0001,0.5411764705882353
562,"(128, 128)",logistic,sgd,0.0001,0.01,0.5411764705882353
563,"(128, 128)",logistic,sgd,0.0001,0.1,0.5411764705882353
37,"(8, 8)",relu,adam,0.1,0.01,0.5411764705882353
322,"(32, 32)",logistic,sgd,0.0001,0.01,0.5411764705882353
80,"(8, 8)",logistic,sgd,0.0001,0.0001,0.5411764705882353
17,"(8, 8)",relu,sgd,0.1,0.01,0.5411764705882353
320,"(32, 32)",logistic,sgd,0.0001,0.0001,0.5294117647058824
564,"(128, 128)",logistic,sgd,0.0001,1.0,0.5294117647058824
255,"(32, 32)",relu,sgd,0.1,0.0001,0.5294117647058824
19,"(8, 8)",relu,sgd,0.1,1.0,0.5058823529411764
441,"(64, 64)",logistic,sgd,0.0001,0.001,0.5058823529411764
324,"(32, 32)",logistic,sgd,0.0001,1.0,0.49411764705882355
498,"(128, 128)",relu,sgd,0.1,0.1,0.47058823529411764
496,"(128, 128)",relu,sgd,0.1,0.001,0.4588235294117647
497,"(128, 128)",relu,sgd,0.1,0.01,0.4588235294117647
83,"(8, 8)",logistic,sgd,0.0001,0.1,0.4588235294117647
202,"(16, 16)",logistic,sgd,0.0001,0.01,0.4588235294117647
81,"(8, 8)",logistic,sgd,0.0001,0.001,0.4588235294117647
377,"(64, 64)",relu,sgd,0.1,0.01,0.4588235294117647
375,"(64, 64)",relu,sgd,0.1,0.0001,0.4470588235294118
84,"(8, 8)",logistic,sgd,0.0001,1.0,0.29411764705882354
